imie,plec,rok,miesiac,liczba
Aleks,M,2007,7,2
Aleks,M,2007,6,2
Aleks,M,2007,5,2
Aleks,M,2007,4,1
Aleks,M,2007,3,0
Aleks,M,2007,2,3
Aleks,M,2007,1,0
Aleks,M,2006,12,0
Aleks,M,2006,11,0
Aleks,M,2006,10,1
Aleks,M,2006,9,1
Aleks,M,2006,8,0
Aleks,M,2006,7,2
Aleks,M,2006,6,0
Aleks,M,2006,5,0
Aleks,M,2006,4,0
Aleks,M,2006,3,0
Aleks,M,2006,2,1
Aleks,M,2006,1,0
Aleks,M,2005,12,0
Aleks,M,2005,11,0
Aleks,M,2005,10,0
Aleks,M,2005,9,0
Aleks,M,2005,8,1
Aleks,M,2005,7,0
Aleks,M,2005,6,2
Aleks,M,2005,5,1
Aleks,M,2005,4,0
Aleks,M,2005,3,0
Aleks,M,2005,2,3
Aleks,M,2005,1,1
Aleks,M,2004,12,0
Aleks,M,2004,11,0
Aleks,M,2004,10,0
Aleks,M,2004,9,0
Aleks,M,2004,8,0
Aleks,M,2004,7,0
Aleksander,M,2016,5,3
Aleksander,M,2016,4,6
Aleksander,M,2016,3,8
Aleksander,M,2016,2,6
Aleksander,M,2016,1,5
Aleksander,M,2015,12,9
Aleksander,M,2015,11,9
Aleksander,M,2015,10,4
Aleksander,M,2015,9,4
Aleksander,M,2015,8,7
Aleksander,M,2015,7,10
Aleksander,M,2015,6,13
Aleksander,M,2015,5,10
Aleksander,M,2015,4,7
Aleksander,M,2015,3,8
Aleksander,M,2015,2,12
Aleksander,M,2015,1,15
Aleksander,M,2014,12,11
Aleksander,M,2014,11,12
Aleksander,M,2014,10,17
Aleksander,M,2014,9,18
Aleksander,M,2014,8,13
Aleksander,M,2014,7,14
Aleksander,M,2014,6,10
Aleksander,M,2014,5,8
Aleksander,M,2014,4,14
Aleksander,M,2014,3,16
Aleksander,M,2014,2,16
Aleksander,M,2014,1,12
Aleksander,M,2013,12,10
Aleksander,M,2013,11,8
Aleksander,M,2013,10,10
